ID,Created,Ticket ID,Duplicate,Alarm Date,Alarm Time,Alarm Date formatted,alarm_date_time,Alarm Date Time,Day of Alarm,Month of Alarm,Month of Alarm Text,Year of Alarm,Year Month of Alarm,Time of Alarm,ampm,Alarm Time formatted,Site Address ID,Site Name,State (from State),Responsible Party Short,Reason for Activation,Type of Activation,Location of Alarm,Retailer Responsible,Contractor Responsible,Shop Number,Area / Zone Description,AFA Code,Short Description (from AFA Codes),Chargeable (from AFA Codes)
2282,45788.49914,WF2282,,9/05/2025,10:34:00 AM,9/05/2025,45786.44028,45786.44028,9,5,May,2025,2025-05,10:34:00 AM,am,10:34:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,,,,,,,,,,,
2280,45788.49736,WF2280,,12/05/2025,5:24:00 AM,12/05/2025,45789.225,45789.225,12,5,May,2025,2025-05,5:24:00 AM,am,5:24:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,,,,,,,,,,,
2238,45778.1236,WF2238,,1/05/2025,12:57PM,1/05/2025,45778.53958,45778.53958,1,5,May,2025,2025-05,12:57:00 PM,pm,12:57:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Common mall,Shop 1082 Three Beans Cafe,,,near 3 beans cafe,"756 - Cooking fumes – eg toast, foodstuffs, etc",Cooking fumes,Yes
2227,45774.41628,WF2227,,28/04/2025,7:59:00 AM,28/04/2025,45775.33264,45775.33264,28,4,Apr,2025,2025-04,7:59:00 AM,am,7:59:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Major Retailer/tenant, unknown cause of activation",Smoke/Thermal,Major Tenant,Kmart,,1000,,"702 - Alarm due to extreme weather – rain, storm, dust, flood/rainwater leaking onto detector",Extreme weather,
2224,45774.04932,WF2224,,27/04/2025,11:10:00 AM,27/04/2025,45774.46528,45774.46528,27,4,Apr,2025,2025-04,11:10:00 AM,am,11:10:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,Smoke or heat detector suspected malfunction,Smoke/Thermal,Major Tenant,Kmart,,1000,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
2216,45771.23912,WF2216,,25/04/2025,3:43:00 AM,25/04/2025,45772.15486,45772.15486,25,4,Apr,2025,2025-04,3:43:00 AM,am,3:43:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Common mall,,,,outside Optus ,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
2211,45769.36551,WF2211,,22/04/2025,6:45:00 PM,22/04/2025,2025-04-22 18:45 PM,22/04/2025 18:45 PM,22,4,Apr,2025,2025-04,6:45:00 AM,pm,6:45:00 PM,49441,2Tr2L4zySEteWDtCqgkc,NSW,External Event,Please Select,Fire Panel fault,Back of house,,,,Blue roof top beam,"738 - Alarm system suspected malfunction – eg fault in wiring, alarm panel, poor maintenance",Alarm system suspected malfunction,Yes
2209,45767.07925,WF2209,,20/04/2025,11:53:00 AM,20/04/2025,45767.49514,45767.49514,20,4,Apr,2025,2025-04,11:53:00 AM,am,11:53:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Internal Event,"Unknown cause of activation, engage Fire maintenance contractor to investigate",Smoke/Thermal,Major Tenant,Loewe,,3028 - 3029/30,,,,
2204,45765.22355,WF2204,,19/04/2025,3:21:00 AM,19/04/2025,45766.13958,45766.13958,19,4,Apr,2025,2025-04,3:21:00 AM,am,3:21:00 AM,49441,2Tr2L4zySEteWDtCqgkc,NSW,Retailer,"Activation as a result of tenant activity (e.g. Burnt toast, steam, cooking)",Smoke/Thermal,Major Tenant,Coles,,106,,732 - Smoke detector suspected malfunction eg continuous/intermittent fault in detector or FIP,Smoke detector suspected malfunction,Yes
2196,45763.25529,WF2196,,17/04/2025,4:07:00 AM,17/04/2025,45764.17153,45764.17153,17,4,Apr,2025,2025-04,4:07:00 AM,am,4:07:00 AM,464455,DO05xnc9uzEwZ1OvRGSP,NSW,Contractor,"Accidental Westfield contractor activation (e.g. Fire, cleaner, plumber etc)",Smoke/Thermal,Common mall,,Glad Cleaning,,R04 Zone 3 - common mall area outside Zimmerman,,,
